p_noise	bell_state	optimization_level	routing_method	noise_adaptive	fidelity	success_rate	depth	gate_count	cx_count	sx_count	x_count	rz_count	initial_layout	adaptive_path	blind_layout
0.01	phi_plus	1	sabre	TRUE	0.977540201	0.985839844	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	1	sabre	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_plus	1	lookahead	TRUE	0.97755793	0.997192383	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	1	lookahead	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_plus	2	sabre	TRUE	0.977540201	0.985839844	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	2	sabre	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_plus	2	lookahead	TRUE	0.97755793	0.997192383	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	2	lookahead	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_plus	3	sabre	TRUE	0.977540201	0.985839844	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	3	sabre	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_plus	3	lookahead	TRUE	0.97755793	0.997192383	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_plus	3	lookahead	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	1	sabre	TRUE	0.9775402	0.985839844	5	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	1	sabre	FALSE	0.928906807	0.955200195	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	1	lookahead	TRUE	0.97755793	0.997192383	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	1	lookahead	FALSE	0.928906807	0.955200195	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	2	sabre	TRUE	0.977540201	0.985839844	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	2	sabre	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	2	lookahead	TRUE	0.97755793	0.997192383	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	2	lookahead	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	3	sabre	TRUE	0.977540201	0.985839844	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	3	sabre	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	phi_minus	3	lookahead	TRUE	0.97755793	0.997192383	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	phi_minus	3	lookahead	FALSE	0.928906807	0.955200195	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	1	sabre	TRUE	0.971993054	0.984985352	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	1	sabre	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	1	lookahead	TRUE	0.972010649	0.993774414	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	1	lookahead	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	2	sabre	TRUE	0.971993054	0.984985352	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	2	sabre	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	2	lookahead	TRUE	0.972010649	0.993774414	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	2	lookahead	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	3	sabre	TRUE	0.971993054	0.984985352	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	3	sabre	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_plus	3	lookahead	TRUE	0.972010649	0.993774414	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_plus	3	lookahead	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	1	sabre	TRUE	0.971993054	0.984985352	5	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	1	sabre	FALSE	0.9202168	0.951416016	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	1	lookahead	TRUE	0.972010648	0.993774414	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	1	lookahead	FALSE	0.9202168	0.951416016	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	2	sabre	TRUE	0.971993054	0.984985352	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	2	sabre	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	2	lookahead	TRUE	0.972010648	0.993774414	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	2	lookahead	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	3	sabre	TRUE	0.971993054	0.984985352	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	3	sabre	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.01	psi_minus	3	lookahead	TRUE	0.972010648	0.993774414	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.01	psi_minus	3	lookahead	FALSE	0.9202168	0.951416016	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	1	sabre	TRUE	0.955555494	0.976806641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	1	sabre	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	1	lookahead	TRUE	0.955625518	0.993164063	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	1	lookahead	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	2	sabre	TRUE	0.955555494	0.976806641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	2	sabre	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	2	lookahead	TRUE	0.955625518	0.993164063	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	2	lookahead	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	3	sabre	TRUE	0.955555494	0.976806641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	3	sabre	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_plus	3	lookahead	TRUE	0.955625518	0.993164063	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_plus	3	lookahead	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	1	sabre	TRUE	0.955555493	0.976806641	5	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	1	sabre	FALSE	0.85892721	0.911621094	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	1	lookahead	TRUE	0.955625518	0.993164063	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	1	lookahead	FALSE	0.85892721	0.911621094	5	5	1	1	0	3	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	2	sabre	TRUE	0.955555494	0.976806641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	2	sabre	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	2	lookahead	TRUE	0.955625518	0.993164063	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	2	lookahead	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	3	sabre	TRUE	0.955555494	0.976806641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	3	sabre	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	phi_minus	3	lookahead	TRUE	0.955625518	0.993164063	8	8	4	1	0	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	phi_minus	3	lookahead	FALSE	0.85892721	0.911621094	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	1	sabre	TRUE	0.944760132	0.969726563	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	1	sabre	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	1	lookahead	TRUE	0.944829093	0.985839844	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	1	lookahead	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	2	sabre	TRUE	0.944760132	0.969726563	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	2	sabre	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	2	lookahead	TRUE	0.944829093	0.985839844	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	2	lookahead	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	3	sabre	TRUE	0.944760132	0.969726563	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	3	sabre	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_plus	3	lookahead	TRUE	0.944829093	0.985839844	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_plus	3	lookahead	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_minus	1	sabre	TRUE	0.944760132	0.969726563	5	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_minus	1	sabre	FALSE	0.843338674	0.907104492	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_minus	1	lookahead	TRUE	0.944829093	0.985839844	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_minus	1	lookahead	FALSE	0.843338674	0.907104492	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.02	psi_minus	2	sabre	TRUE	0.944760132	0.969726563	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.02	psi_minus	2	sabre	FALSE	0.843338674	0.907104492	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
